;Station#01;Station#02;Station#03;Station#04;Station#05;Station#06;Station#07;Station#08;Station#09;Station#10;Station#11;Station#12;Station#13;Station#14;Station#15;Station#16
Carrier#1;2648;2479;5140;4951;2057;4593;4263;4559;1464;2885;5325;2307;4260;1618;1001;4649
Carrier#2;3979;1681;1624;5551;1125;1692;4428;4998;1619;3407;5835;4592;2100;5428;2973;5626
Carrier#3;5042;1838;3994;3388;1646;1846;3744;2415;2942;4440;3399;5797;1475;3236;1837;2674
Carrier#4;1557;2545;1667;5634;2067;1359;1788;2611;3553;4436;5583;5012;1368;1296;5001;2320
Carrier#5;3399;5236;5755;4934;5933;1967;2961;4352;3598;2886;2953;3815;3397;1542;4112;5927
Carrier#6;4235;2548;1515;5424;3316;5656;5737;5720;2742;2148;3777;1821;4146;2774;4947;2149
Carrier#7;5072;2415;1229;3374;1534;3682;4115;3006;4212;5470;1820;1990;1118;3710;2365;4766
Carrier#8;4490;2628;1385;2491;2416;2113;2143;2084;2600;2994;1846;3287;4573;4230;2106;2011
Carrier#9;4465;2542;5855;5609;1068;3637;1357;4459;5146;5445;3403;1497;4591;1910;3591;3566
Carrier#10;5071;4906;5356;4064;4926;4232;4446;4471;5338;3710;1997;2760;3602;4620;5214;4644
Carrier#11;2876;5700;1451;3529;5505;5550;1954;4170;3318;3246;2946;5155;1313;5437;3136;4398
Carrier#12;1615;1614;4399;2319;4950;3015;3076;1256;5163;2314;4100;3854;3639;4127;4429;1509
Carrier#13;1086;2009;5779;2760;3768;2541;4343;4712;4507;5389;5265;2605;3666;4989;2987;3305
Carrier#14;2213;2612;4025;4462;3469;2624;3537;4387;1757;4123;3754;3393;3826;2529;5871;4013
Carrier#15;4254;2044;3136;3944;1150;2433;1080;5894;5757;1583;3055;1047;1881;1820;1281;5020
Carrier#16;1208;3706;1658;4891;5881;4820;5390;4352;4922;5817;2343;3639;4982;2111;2023;1248